function_id,name,entry_type,condition,args,behavior,returns,test_split,source_refs
0x0012,PAL_PROC_SET_FEATURES,function,gr30 and gr31 zero,gr28 selects function; gr29..gr31 carry PAL arguments,accepts and ignores feature bit selection,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0013,PAL_RSE_INFO,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns RSE information including stack frame size values,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0014,PAL_VERSION,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns PAL version value in gr9 and gr10,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0015,PAL_MC_CLEAR_LOG,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,successfully clears synthetic machine-check log state,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0016,PAL_MC_DRAIN,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,successfully drains machine-check state,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0017,PAL_MC_EXPECTED,function,expected flag 0..1; gr30/gr31 zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns previous expected-MCA flag and updates it,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0018,PAL_MC_DYNAMIC_STATE,function,offset 8-byte aligned; gr30/gr31 zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns zero dynamic-state values,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0019,PAL_MC_ERROR_INFO,function,info_index 0..2 with extra validation for index 2,gr28 selects function; gr29..gr31 carry PAL arguments,index 0/1 return no information; index 2 validates level and error type,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x001a,PAL_MC_RESUME,function,set_cmci 0..1; new_context 0..1; save pointer 512-byte aligned,gr28 selects function; gr29..gr31 carry PAL arguments,valid args return PAL_STATUS_ERROR; invalid args return invalid argument,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x001b,PAL_MC_REGISTER_MEM,function,nonnegative 512-byte aligned address; gr30/gr31 zero,gr28 selects function; gr29..gr31 carry PAL arguments,registers machine-check save area,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x001d,PAL_HALT_LIGHT,function,no argument validation beyond dispatch,gr28 selects function; gr29..gr31 carry PAL arguments,halts the CPU and reports halted to translator,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x001e,PAL_COPY_INFO,function,copy_type/platform_info pair,gr28 selects function; gr29..gr31 carry PAL arguments,copy_type 0 returns required sizes; copy_type 1 returns error; other values invalid,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x001f,PAL_CACHE_LINE_INIT,function,nonnegative address; gr31 zero,gr28 selects function; gr29..gr31 carry PAL arguments,accepts cache-line init request,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0020,PAL_PMI_ENTRYPOINT,function,nonnegative 256-byte aligned entry; gr30/gr31 zero,gr28 selects function; gr29..gr31 carry PAL arguments,records PMI entry point,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0022,PAL_VM_PAGE_SIZE,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns supported page-size mask,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0025,PAL_MEM_FOR_TEST,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns memory-for-test information,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0026,PAL_CACHE_PROT_INFO,function,level/type constraints match PAL_CACHE_INFO,gr28 selects function; gr29..gr31 carry PAL arguments,returns cache protection information,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0027,PAL_REGISTER_INFO,function,info_type 0..3; gr30/gr31 zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns AR/CR implemented and side-effect masks,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0029,PAL_PREFETCH_VIS,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns visible prefetch hints bits 0 and 1,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0100,PAL_COPY_PAL,function,processor 0 or 1; target aligned; size at least 0x1000,gr28 and stacked in0 select function; stacked in1..in3 carry PAL arguments,processor 0 copies PAL_PROC stub and invalidates TB; processor 1 succeeds without copy,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0101,PAL_HALT_INFO,function,8-byte aligned buffer; stacked in2/in3 zero,gr28 and stacked in0 select function; stacked in1..in3 carry PAL arguments,writes halt-state information block,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0102,PAL_TEST_PROC,function,nonnegative address; valid attrs; WB required,gr28 and stacked in0 select function; stacked in1..in3 carry PAL arguments,returns tested memory attribute bit,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0105,PAL_VM_TR_READ,function,register number in range; tr_type data/instruction; buffer aligned,gr28 and stacked in0 select function; stacked in1..in3 carry PAL arguments,writes TR pte/itir/ifa/rr and returns valid mask,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
default,PAL_UNKNOWN,special_case,gr28 does not match implemented PAL function,any,dispatch returns PAL_STATUS_NOT_IMPLEMENTED and clears gr9..gr11,PAL_STATUS_NOT_IMPLEMENTED,unknown function dispatch,target/ia64/op_helper.c:2162
shared,PAL reserved args,special_case,functions with documented reserved static or stacked PAL arguments receive nonzero reserved value,static gr29..gr31 or stacked in1..in3,returns PAL_STATUS_INVALID_ARGUMENT,PAL_STATUS_INVALID_ARGUMENT,reserved-zero success vs nonzero reserved invalid,target/ia64/op_helper.c:2162
0x0001,PAL_CACHE_FLUSH invalid,special_case,cache_type outside 1..4 or operation has unsupported high bits,gr29/gr30,invalid argument,PAL_STATUS_INVALID_ARGUMENT,invalid cache type and invalid operation bits,target/ia64/op_helper.c:2162
0x0002,PAL_CACHE_INFO split,special_case,level 0 accepts data/unified; level 1/2 require unified,gr29 level; gr30 type; gr31 reserved,returns different geometry for level/type or invalid argument,status and gr9..gr11 geometry,"level 0 data, level 0 unified, level >0 unified, invalid type",target/ia64/op_helper.c:2162
0x0003,PAL_CACHE_INIT all-levels,special_case,level is UINT64_MAX,gr29 level,accepted as whole-cache initialization,PAL_STATUS_SUCCESS,all-levels vs numbered level,target/ia64/op_helper.c:2162
0x0010,PAL_PLATFORM_ADDR interrupt,special_case,block type 0 and address equals local SAPIC block with required alignment,gr29 type; gr30 address; gr31 reserved,interrupt block accepted,PAL_STATUS_SUCCESS or ERROR on unsupported address,"accepted address, cache-attr high bit, misaligned, unsupported",target/ia64/op_helper.c:2162
0x0010,PAL_PLATFORM_ADDR io,special_case,block type 1 and address equals PAL IO block with required alignment,gr29 type; gr30 address; gr31 reserved,IO block accepted,PAL_STATUS_SUCCESS or ERROR on unsupported address,"accepted address, cache-attr high bit, misaligned, unsupported",target/ia64/op_helper.c:2162
0x0017,PAL_MC_EXPECTED state,special_case,expected flag toggles between 0 and 1,gr29 flag,returns previous value and stores new value,gr9 previous expected flag,previous-state and updated-state test,target/ia64/op_helper.c:2162
0x0019,PAL_MC_ERROR_INFO no-info,special_case,info_index is 0 or 1,gr29 info_index,returns no machine-check information,PAL_STATUS_NO_INFORMATION,index 0 and index 1 separately,target/ia64/op_helper.c:2162
0x0019,PAL_MC_ERROR_INFO index2,special_case,info_index 2 with exactly one level bit and error type <=4,gr29..gr31 encoded fields,valid request returns zeroed info; malformed fields invalid,PAL_STATUS_SUCCESS or PAL_STATUS_INVALID_ARGUMENT,valid level/type vs bad level mask vs bad type,target/ia64/op_helper.c:2162
0x001a,PAL_MC_RESUME valid-error,special_case,all arguments structurally valid,gr29..gr31,implemented path reports generic PAL error instead of success,PAL_STATUS_ERROR,valid-error vs invalid-argument,target/ia64/op_helper.c:2162
0x001e,PAL_COPY_INFO processor,special_case,copy_type 0 vs copy_type 1 vs other,gr29 copy_type; gr30 platform_info,copy_type 0 reports sizes; copy_type 1 reports error; other invalid,status varies by copy_type,"copy_type 0, copy_type 1, invalid copy_type",target/ia64/op_helper.c:2162
0x0100,PAL_COPY_PAL processor0,special_case,processor argument is 0,stacked in1 target; stacked in2 allocation size; stacked in3 processor,"copies PAL proc stub, marks copy valid, invalidates translated block range",PAL_STATUS_SUCCESS,processor 0 copy side effects,target/ia64/op_helper.c:2162
0x0100,PAL_COPY_PAL processor1,special_case,processor argument is 1,stacked in1 target; stacked in2 allocation size; stacked in3 processor,returns success without copying PAL proc stub,PAL_STATUS_SUCCESS,processor 1 no-copy path,target/ia64/op_helper.c:2162
0x0105,PAL_VM_TR_READ valid-mask,special_case,TR slot may or may not be valid,stacked in1 register; stacked in2 type; stacked in3 buffer,writes TR state and returns mask 0xf only for valid entry,gr9 valid mask,valid TR vs invalid/empty TR,target/ia64/op_helper.c:2162
