function_id,name,entry_type,condition,args,behavior,returns,test_split,source_refs
0x01000000,SAL_SET_VECTORS INIT pair,special_case,OS_INIT vector has only one of primary/secondary handlers present,Arg0..Arg7 vector fields,invalid because INIT requires both vectors present or both absent,SAL_STATUS_INVALID_ARGUMENT,INIT one-vector vs two-vector vs no-vector,roms/ia64-firmware/firmware.c:2498
0x01000000,SAL_SET_VECTORS checksum,special_case,checksum-valid bit set in length field,length/reserved/checksum fields,length must be nonzero 16-byte multiple and reserved bits clear,SAL_STATUS_SUCCESS or INVALID_ARGUMENT,checksum-valid length/reserved combinations,roms/ia64-firmware/firmware.c:2498
0x01000004,SAL_MC_RENDEZ nonzero,special_case,any rendez argument is nonzero,Arg0..Arg7,implemented path returns SAL_STATUS_ERROR,SAL_STATUS_ERROR,all-zero success vs nonzero error,roms/ia64-firmware/firmware.c:2498
0x01000005,SAL_MC_SET_PARAMS interrupt,special_case,mechanism is interrupt for rendez or CPE,vector/options fields,vector zero or 0x10..0xff accepted with valid options,status varies,"valid vector, low reserved vector, bad options",roms/ia64-firmware/firmware.c:2498
0x01000005,SAL_MC_SET_PARAMS memory,special_case,rendez wakeup uses memory mechanism,address/options fields,requires 8-byte aligned memory address and valid options,status varies,aligned vs unaligned memory wakeup,roms/ia64-firmware/firmware.c:2498
0x01000010,SAL_PCI_CONFIG_READ compact,special_case,AddressType 0 compact config address,segment/bus/device/function/offset/size,decodes compact address and reads ECAM if present,success with data or all ones,"valid device, nonexistent device, bad alignment",roms/ia64-firmware/firmware.c:2498
0x01000010,SAL_PCI_CONFIG_READ extended,special_case,AddressType 1 extended config address,segment/bus/device/function/offset/size,decodes extended address and reads ECAM if present,success with data or all ones,"valid extended offset, bad upper bits, bad size",roms/ia64-firmware/firmware.c:2498
0x01000011,SAL_PCI_CONFIG_WRITE compact,special_case,AddressType 0 compact config address,segment/bus/device/function/offset/size/value,writes ECAM if present; ignores nonexistent function,SAL_STATUS_SUCCESS,present vs nonexistent function write,roms/ia64-firmware/firmware.c:2498
0x01000011,SAL_PCI_CONFIG_WRITE extended,special_case,AddressType 1 extended config address,segment/bus/device/function/offset/size/value,writes ECAM if present; validates extended address bits,SAL_STATUS_SUCCESS or INVALID_ARGUMENT,extended valid vs invalid decode,roms/ia64-firmware/firmware.c:2498
0x01000012,SAL_FREQ_BASE platform,special_case,ClockType 0,Arg0 clock type,returns platform base frequency 100000000,SAL_STATUS_SUCCESS with frequency,platform clock type,roms/ia64-firmware/firmware.c:2498
0x01000012,SAL_FREQ_BASE optional,special_case,ClockType 1 or 2,Arg0 clock type,returns -1 values to indicate optional frequency unavailable,SAL_STATUS_SUCCESS,processor/bus optional clock types,roms/ia64-firmware/firmware.c:2498
0x01000020,SAL_UPDATE_PAL write-failure,special_case,arguments structurally valid,parameter and scratch buffers,implemented path reports write failure rather than applying update,SAL_STATUS_ERROR with SAL_UPDATE_PAL_WRITE_FAILURE,valid failure vs invalid args,roms/ia64-firmware/firmware.c:2498
