area,object,entry_type,condition,behavior,addresses_or_values,test_split,source_refs
I/O,ACPI PM block,feature,platform maps PM System I/O region,"QEMU device exposes PM1 event, PM1 control, PM timer and internal GPE backing","port base 0x2000 size 0x10; offsets 0,4,8",FADT GAS and IA-64 sparse PM timer access,hw/ia64/ia64_vpc.c:60
Interrupt,SCI,feature,ACPI PM event changes SCI line,SCI is routed through IOSAPIC IRQ 9,IRQ 9,assert/deassert SCI,hw/ia64/ia64_vpc.c:58
MMIO,PIB INTA,feature,read from LSAPIC PIB INTA offset,returns 0 for interrupt acknowledge read,size 1,valid read vs other offsets,hw/ia64/ia64_vpc.c:58
MMIO,PIB XTP,feature,write to LSAPIC PIB XTP offset,write is accepted and ignored,size 1,write XTP ignored path,hw/ia64/ia64_vpc.c:58
MMIO,PIB IPI,feature,write aligned 8-byte IPI register with vector >=16,delivers SAPIC interrupt to CPU selected by address bits,addr<0x100000; vector>=16,valid IPI vs bad size/alignment/vector,hw/ia64/ia64_vpc.c:58
Device,IOSAPIC registers,feature,MMIO register select/window access,"implements IOREGSEL, IOWIN, and EOI register behavior",IOREGSEL 0x00; IOWIN 0x10; EOI 0x40,ID/VER/RTE/EOI register selection,hw/ia64/ia64_iosapic.c:1
Device,IOSAPIC RTE,special_case,RTE is masked or vector is zero,interrupt is not delivered,24 pins; version reports pins-1 and 0x11,masked vs unmasked; vector zero vs nonzero,hw/ia64/ia64_iosapic.c:1
Device,IOSAPIC level EOI,special_case,EOI vector matches asserted level-triggered pin,EOI retriggers interrupt if line remains high,EOI register 0x40,edge vs level and asserted vs deasserted,hw/ia64/ia64_iosapic.c:1
EFI config,ACPI table GUID,feature,EFI configuration table initialized,ACPI 2.0 table GUID points to RSDP in EFI ACPI Reclaim memory,ACPI 2.0 GUID,configuration table lookup,roms/ia64-firmware/firmware.c:7044
EFI config,ACPI 1.0 table GUID,feature,EFI configuration table initialized,ACPI 1.0 table GUID points to ACPI 1.0-compatible RSDP in EFI ACPI Reclaim memory,ACPI 1.0 GUID,configuration table lookup,roms/ia64-firmware/firmware.c:7044
EFI config,SAL table GUID,feature,EFI configuration table initialized,SAL system table GUID points to SAL table,SAL table GUID,configuration table lookup,roms/ia64-firmware/firmware.c:7044
EFI config,HCDP table GUID,feature,EFI configuration table initialized,HCDP table GUID points to the ACPI HCDP console table,HCDP table GUID,configuration table lookup,roms/ia64-firmware/firmware.c:10156
EFI config,SMBIOS table GUID,feature,EFI configuration table initialized,SMBIOS table GUID points to the SMBIOS 2.7 entry point,SMBIOS table GUID,configuration table lookup,roms/ia64-firmware/firmware.c:10156
EFI config,Debug Image Info Table GUID,feature,EFI configuration table initialized,debug image info table GUID points to the EFI_DEBUG_IMAGE_INFO_TABLE_HEADER,EFI debug image info table GUID,configuration table lookup,roms/ia64-firmware/firmware.c:10156
SAL table,SST_,feature,SAL system table initialized,contains entrypoint descriptor and platform feature descriptor,revision 0x0330; OEM QEMU; product IA-64,entrypoint descriptor and feature descriptor,roms/ia64-firmware/firmware.c:7044
SMBIOS table,_SM_/_DMI_,feature,SMBIOS 2.7 entry point initialized,"publishes SMBIOS 2.7 entry point and structure table with BIOS, system, board, enclosure, IA-64 processor, memory, boot status, and end-of-table structures","types 0,1,2,3,4,16,17,19,32,127",entry point checksum and structure fields,roms/ia64-firmware/firmware.c:10156
